BuildingType,PrimaryPropertyType,Address,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ENERGYSTARScore,TotalGHGEmissions,TotalGHGEmissions_log,HasElectricity,HasNaturalGas,HasSteam
NonResidential,Warehouse,1136 S. Albro Place,GREATER DUWAMISH,47.5465,-122.31704,1963,1.0,1.0,31900.0,0.0,31900.0,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,28000.0,Office,4000.0,73.0,13.7,2.6878474937846906,1,0,0
NonResidential,Hotel,1325 6th Ave,DOWNTOWN,47.60968,-122.33379,1930,1.0,12.450000000000045,305548.0,0.0,305548.0,Hotel,Hotel,310000.0,Parking,11745.0,58.0,564.2850000000001,6.3373279806556635,1,1,1
Nonresidential COS,Small- and Mid-Sized Office,1300 N 97th ST,NORTHWEST,47.70044,-122.34136,1957,1.0,2.0,91130.0,0.0,91130.0,"Data Center, Distribution Center, Office, Other, Parking",Office,57968.0,Distribution Center,32881.0,73.0,175.77,5.174849452547792,1,1,0
NonResidential,Warehouse,4100 4th Avenue South,GREATER DUWAMISH,47.56558,-122.32889,1956,1.0,1.0,98480.0,0.0,98480.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,98480.0,Parking,11745.0,65.0,39.5,3.7013019741124933,1,1,0
NonResidential,Other,1004 Boren Ave,EAST,47.6097,-122.325,1912,1.0,3.0,21038.2,0.0,20804.25,Social/Meeting Hall,Social/Meeting Hall,20411.0,Parking,11745.0,73.0,71.23,4.2798554720627555,1,1,0
NonResidential,Small- and Mid-Sized Office,9620 Stone Ave N,NORTHWEST,47.69898,-122.34162,1982,1.0,3.0,25111.0,0.0,25111.0,"Non-Refrigerated Warehouse, Office, Parking",Office,14317.0,Non-Refrigerated Warehouse,7850.0,77.0,24.97,3.256942025674657,1,1,0
NonResidential,Small- and Mid-Sized Office,4714 Rainier Ave S,SOUTHEAST,47.56029,-122.28841249999999,1967,1.0,2.0,23250.0,0.0,23250.0,Office,Office,22014.0,Parking,11745.0,55.0,6.3,1.9878743481543455,1,0,0
NonResidential,Warehouse,651 S Alaska St,GREATER DUWAMISH,47.56064,-122.32522,2001,1.0,1.0,123061.0,0.0,123061.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,123061.0,Parking,11745.0,59.0,13.86,2.698673039289613,1,0,0
NonResidential,Mixed Use Property,1001 Alaskan Way,DOWNTOWN,47.6041,-122.33958,1906,1.0,1.0,62900.0,0.0,62900.0,"Other, Restaurant, Retail Store",Restaurant,32494.0,Other,29793.0,73.0,377.27,5.935608226353245,1,1,0
NonResidential,Large Office,1551 Eastlake Ave E,LAKE UNION,47.63349,-122.32634,1962,1.0,3.0,158600.0,38400.0,120200.0,"Laboratory, Office, Parking",Office,125779.0,Parking,32821.0,19.0,236.9,5.471850417308912,1,1,0
NonResidential,Warehouse,3849 1st Ave S.,GREATER DUWAMISH,47.56733,-122.3352,1946,1.0,1.0,179413.0,0.0,179413.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,178087.0,Parking,11745.0,57.0,24.12,3.223664341599998,1,0,0
NonResidential,Hotel,900 Madison St.,EAST,47.60898,-122.32693,1908,1.0,7.0,76631.0,0.0,76631.0,Hotel,Hotel,76631.0,Parking,11745.0,71.0,262.75,5.575001684790276,1,1,0
NonResidential,Small- and Mid-Sized Office,2 Nickerson,MAGNOLIA / QUEEN ANNE,47.64976,-122.35684,1979,1.0,3.0,25262.0,0.0,25262.0,Office,Office,25262.0,Parking,11745.0,54.0,23.85,3.2128577525426376,1,1,0
Nonresidential COS,Other,1400 E Galer St,EAST,47.63228,-122.31574,1912,1.0,1.0,23445.0,0.0,23445.0,Other - Recreation,Other - Recreation,23445.0,Parking,11745.0,73.0,259.22,5.56152742707533,1,1,0
NonResidential,Small- and Mid-Sized Office,2345 Eastlake Ave E,LAKE UNION,47.64113,-122.32625,2000,1.0,3.0,57132.0,21908.0,35224.0,"Office, Parking",Office,33705.0,Parking,21908.0,73.0,13.91,2.702032128776647,1,0,0
NonResidential,Other,4520 Martin Luther King Jr. Way S,SOUTHEAST,47.5626,-122.29396,2009,1.0,1.0,40265.0,0.0,40265.0,Pre-school/Daycare,Pre-school/Daycare,40265.0,Parking,11745.0,73.0,51.39,3.9587157334201284,1,1,0
